extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.95,14,33,7.21831,12.1896,8.40765
0.95,16,61,7.48884,13.8645,9.98543
0.95,16,93,7.27694,13.8754,9.99718
0.95,16,33,8.19685,13.3779,9.11672
0.95,15,36,7.39635,12.54,8.63983
0.95,15,31,7.26131,13.2649,8.6732
0.95,13,35,7.31049,10.9156,7.8064
0.95,20,140,10.0329,17.5831,12.7889
0.95,17,46,8.98544,15.0643,10.7991
0.95,13,46,6.95338,10.7525,7.08761
0.95,15,45,7.8079,12.6233,10.0968
0.95,16,66,7.04968,14.238,10.9619
0.95,14,142,7.81648,12.213,9.73085
0.95,32,130,11.1692,29.2809,20.265
0.95,13,51,7.09529,10.483,7.40796
0.95,15,76,8.92288,13.2009,9.89992
0.95,14,32,8.52448,12.2553,8.55579
0.95,14,43,7.60494,12.1074,8.7185
0.95,17,58,7.97402,14.2909,10.9946
0.95,13,44,7.61624,11.2427,7.89876
0.95,15,43,7.81296,12.8999,9.31039
0.95,21,82,10.3377,18.1462,12.6722
0.95,16,72,7.3143,13.7352,9.05603
0.95,17,53,7.74666,14.4553,10.1991
0.95,17,72,8.72885,14.6367,10.9617
0.95,13,41,7.3571,10.7513,7.92086
